Index,Date,Open,High,Low,Close,Volume
Nifty Energy,2020-01-22,15797.70,15811.00,15498.80,15534.60,0
Nifty Energy,2020-01-23,15567.10,15771.05,15543.50,15704.85,0
Nifty Energy,2020-01-24,15701.15,15768.70,15649.75,15674.65,0
Nifty Energy,2020-01-27,15642.40,15671.75,15458.45,15489.25,0
Nifty Energy,2020-01-28,15526.90,15529.70,15309.60,15363.35,0
Nifty Energy,2020-01-29,15421.70,15532.60,15399.95,15451.90,0
Nifty Energy,2020-01-30,15473.55,15477.70,15195.65,15244.80,0
Nifty Energy,2020-01-31,15318.85,15322.80,14790.55,14838.80,0
Nifty Energy,2020-02-01,14820.00,14885.55,14351.30,14426.35,0
Nifty Energy,2020-02-03,14374.55,14602.30,14271.85,14499.75,0
Nifty Energy,2020-02-04,14619.85,14968.55,14619.50,14953.80,0
Nifty Energy,2020-02-05,14998.25,15184.55,14965.85,15099.15,0
Nifty Energy,2020-02-06,15120.40,15266.90,15112.35,15228.80,0
Nifty Energy,2020-02-07,15206.35,15237.25,15106.35,15189.95,0
Nifty Energy,2020-02-10,15185.85,15186.55,14947.25,15025.50,0
Nifty Energy,2020-02-11,15152.05,15319.25,15134.85,15233.45,0
Nifty Energy,2020-02-12,15268.60,15380.75,15198.80,15234.20,0
Nifty Energy,2020-02-13,15263.80,15317.90,15140.40,15191.25,0
Nifty Energy,2020-02-14,15205.25,15276.35,15028.40,15048.65,0
Nifty Energy,2020-02-17,15095.95,15148.85,14761.70,14816.45,0
Nifty Energy,2020-02-18,14782.45,14826.60,14568.60,14789.85,0
Nifty Energy,2020-02-19,14935.80,15071.60,14877.90,15057.20,0
Nifty Energy,2020-02-20,15012.75,15088.25,14964.75,14987.65,0
Nifty Energy,2020-02-24,14911.90,14911.90,14602.60,14627.45,0
Nifty Energy,2020-02-25,14726.60,14740.00,14421.20,14455.85,0
Nifty Energy,2020-02-26,14411.70,14426.65,14148.30,14189.70,0
Nifty Energy,2020-02-27,14161.45,14178.65,13934.50,14069.05,0
Nifty Energy,2020-02-28,13748.10,13804.05,13564.80,13651.00,0
Nifty Energy,2020-03-02,13914.65,14048.50,13311.70,13419.05,0
Nifty Energy,2020-03-03,13554.30,13940.45,13534.05,13863.70,0
Nifty Energy,2020-03-04,13893.55,13975.20,13657.65,13876.65,0
Nifty Energy,2020-03-05,13956.00,14039.80,13707.05,13743.65,0
Nifty Energy,2020-03-06,13314.45,13469.20,13118.05,13342.60,0
Nifty Energy,2020-03-09,13071.85,13116.40,12366.35,12480.30,0
Nifty Energy,2020-03-11,12439.90,12682.80,12343.10,12398.70,0
Nifty Energy,2020-03-12,11807.85,11813.65,11144.75,11204.90,0
Nifty Energy,2020-03-13,10658.30,11925.10,9767.80,11721.25,0
Nifty Energy,2020-03-16,11296.60,11511.45,10973.45,11017.45,0
Nifty Energy,2020-03-17,11142.75,11542.15,10906.20,10960.30,0
Nifty Energy,2020-03-18,11124.90,11195.30,10129.55,10466.90,0
Nifty Energy,2020-03-19,10033.30,10430.35,9802.65,10042.95,0
Nifty Energy,2020-03-20,10213.95,11019.35,10196.05,10910.10,0
Nifty Energy,2020-03-23,9904.15,10220.00,9799.95,9850.50,0
Nifty Energy,2020-03-24,10154.30,10352.40,9750.00,10024.00,0
Nifty Energy,2020-03-25,10033.90,10878.00,10027.80,10558.50,0
Nifty Energy,2020-03-26,10674.15,10749.05,10416.80,10640.70,0
Nifty Energy,2020-03-27,10849.75,10937.45,10517.80,10626.30,0
Nifty Energy,2020-03-30,10338.10,10652.50,10210.85,10401.10,0
Nifty Energy,2020-03-31,10689.00,11176.40,10556.15,11124.15,0
Nifty Energy,2020-04-01,11119.45,11133.10,10657.00,10771.90,0
Nifty Energy,2020-04-03,11040.00,11040.50,10641.10,10888.40,0
Nifty Energy,2020-04-07,11184.90,11700.05,11079.30,11667.75,0
Nifty Energy,2020-04-08,11566.75,11990.55,11427.90,11685.15,0
Nifty Energy,2020-04-09,11916.25,12037.25,11818.55,11987.00,0
Nifty Energy,2020-04-13,11972.35,11992.95,11635.80,11830.65,0
Nifty Energy,2020-04-15,11945.20,12260.60,11676.95,11721.90,0
Nifty Energy,2020-04-16,11656.70,12064.45,11631.90,11978.75,0
Nifty Energy,2020-04-17,12419.35,12419.35,12143.05,12281.15,0
Nifty Energy,2020-04-20,12361.10,12466.45,12106.80,12402.05,0
Nifty Energy,2020-04-21,12138.25,12144.10,11864.45,12090.55,0
Nifty Energy,2020-04-22,12316.75,12519.95,12044.35,12485.80,0
Nifty Energy,2020-04-23,12529.95,12627.45,12409.65,12438.70,0
Nifty Energy,2020-04-24,12322.55,12831.40,12284.50,12500.80,0
